VideoGameName,PC_Windows,PC_MAC,Playstation,NintendoSwitch,Xbox,Phone_Android,Phone_iPhone,Description,YoutubeTrailerLink,AgeRating,GenreCategory,NumberofPlayers,PopularityRating
Stardew Valley,1,1,1,1,0,1,1,You've inherited your grandfather's old farm plot in Stardew Valley. Armed with hand-me-down tools and a few coins you set out to begin your new life.,https://youtu.be/8A7A1X1TVNc,Everyone10+,Cozy,3 to 4,Overwhelmingly Positive
Age of Empires,1,1,0,0,0,0,0,Age of Empires requires the player to develop a civilization from a handful of hunter-gatherers to an expansive Iron Age Empire.,https://youtu.be/_rS_n3JVTPE,Teen13+,City Builder,5+,Very Positive
Phasmophobia,1,1,0,0,0,0,0,Paranormal activity is on the rise and it’s up to you and your team to use all the ghost-hunting equipment at your disposal in order to gather as much evidence as you can.,https://youtu.be/sRa9oeo5KiY,Teen13+,Horror,3 to 4,Overwhelmingly Positive
FATAL FRAME / PROJECT ZERO: Mask of the Lunar Eclipse,1,0,1,1,1,0,0,A group of children mysteriously disappeared during a festival on Rogetsu Isle. Although they were found they lost their memories. Now they have returned to the island as teenagers as they attempt to discover the truth of their haunting past.,https://youtu.be/H8K_4hgSHqI?si=p8FFKoY7cAslmaX3,Teen13+,Horror,1,Very Positive
Overcooked,1,1,1,1,0,0,0,Overcooked is a chaotic couch co-op cooking game for one to four players. Working as a team you and your fellow chefs must prepare cook and serve up a variety of tasty orders before the baying customers storm out in a huff.,https://youtu.be/Ob6VIECzAFk,Everyone,Puzzle/word/card,3 to 4,Very Positive
Civilization VI,1,1,1,1,1,1,1,Civilization is a turn-based strategy game in which you attempt to build an empire to stand the test of time. Become Ruler of the World by establishing and leading a civilization from the Stone Age to the Information Age.,https://www.youtube.com/watch?v=5KdE0p2joJw,Everyone10+,City Builder,3 to 4,Very Positive
Baldur's Gate 3,1,1,1,0,1,0,0,Gather your party and return to the Forgotten Realms in a tale of fellowship and betrayal sacrifice and survival and the lure of absolute power. Mysterious abilities are awakening inside you drawn from a mind flayer parasite planted in your brain,https://www.youtube.com/watch?v=XuCfkgaaa08,Mature17+,Adventure/RPG,3 to 4,Overwhelmingly Positive
Little Nightmares II,1,0,1,1,1,0,0,Little Nightmares II is a suspense adventure game in which you play as Mono a young boy trapped in a world that has been distorted by an evil transmission. Together with new friend Six he sets out to discover the source of the Transmission.,https://www.youtube.com/watch?v=AI9zBBTyX-E,Teen13+,Horror,1,Very Positive
Elden Ring,1,0,1,0,1,0,0,ELDEN RING Danger and discovery lurk around every corner in FromSoftware's largest game to-date.,https://www.youtube.com/watch?v=jentG1Cyp9s,Mature17+,Adventure/RPG,1,Very Positive
Valorant,1,0,0,0,0,0,0,A first-person shooter game consisting of two teams of five where one team attacks and the other defends.,https://www.youtube.com/watch?v=lWr6dhTcu-E,Teen13+,Shooter,5+,Very Positive
Splatoon 3,0,0,0,1,0,0,0,Splatoon online multiplayer (player versus player and player versus environment) alongside a single-player campaign all featuring combat based around ink.,https://www.youtube.com/watch?v=w7Kd2buXk-s,Everyone10+,Shooter,5+,Very Positive
